latitude,longitude,depth,time,originid,eventid,author,subset,mb,ISCid
-21.4486,-175.0123,59.8167,2009-12-02 01:14:28.278360,11_52111,178,wustl:aadams,11,-1.0,-1111111
-21.0021,-176.0597,189.5062,2009-12-02 02:25:13.607840,11_52113,185,wustl:aadams,11,-1.0,-1111111
-20.0291,-175.3772,179.2744,2009-12-02 15:41:32.776970,11_52115,245,wustl:aadams,11,-1.0,-1111111
-20.8052,-174.5321,66.1092,2009-12-03 09:43:16.236000,11_52119,295,wustl:aadams,11,-1.0,-1111111
-19.4698,-174.9927,146.2841,2009-12-04 17:37:18.418720,11_52124,434,wustl:aadams,11,-1.0,-1111111
-20.6561,-177.4002,515.376,2009-12-05 15:31:14.720460,11_52126,600,wustl:aadams,11,-1.0,-1111111
-19.256,-174.46,75.3358,2009-12-05 17:52:19.914520,11_52129,629,wustl:aadams,11,-1.0,-1111111
-18.9786,-175.8623,288.8877,2009-12-05 23:20:47.559950,11_52132,677,wustl:aadams,11,-1.0,-1111111
-21.188,-176.2617,212.6418,2009-12-08 12:39:06.161270,11_52140,1188,wustl:aadams,11,-1.0,-1111111
-20.5166,-177.2747,462.3136,2009-12-08 20:50:58.060160,11_52148,1266,wustl:aadams-re,11,-1.0,-1111111
-21.2961,-175.1207,67.3311,2009-12-09 09:59:50.821690,11_52151,1350,wustl:aadams,11,-1.0,-1111111
-20.5617,-175.1687,100.1972,2009-12-09 17:20:13.391050,11_52153,1371,wustl:aadams,11,-1.0,-1111111
-20.6386,-177.599,482.8177,2009-12-13 11:50:13.894310,11_52156,1797,wustl:aadams,11,-1.0,-1111111
-21.4259,-176.2279,195.2079,2009-12-13 11:54:28.461690,11_52159,1799,wustl:aadams,11,-1.0,-1111111
-21.7022,-176.2139,177.218,2009-12-16 04:00:08.386970,11_52161,1995,wustl:aadams,11,-1.0,-1111111
-19.4721,-174.4225,78.7959,2009-12-17 01:59:26.647550,11_52163,2107,wustl:aadams,11,-1.0,-1111111
-19.9568,-174.5697,76.7376,2009-12-17 23:05:46.454290,11_52167,2174,wustl:aadams-re,11,-1.0,-1111111
-20.5686,-175.9238,29.6823,2009-12-18 22:17:38.240100,11_52174,2373,wustl:aadams,11,-1.0,-1111111
-21.82,-175.5643,90.5907,2009-12-20 04:05:20.278050,11_52177,2558,wustl:aadams,11,-1.0,-1111111
-19.5786,-177.3917,388.9725,2009-12-22 08:46:19.418750,11_52185,3032,wustl:aadams,11,-1.0,-1111111
-22.4663,-175.443,59.266,2009-12-22 11:36:46.423690,11_52189,3050,wustl:aadams,11,-1.0,-1111111
-21.3989,-174.961,57.3022,2009-12-23 17:50:20.772700,11_52191,3271,wustl:aadams,11,-1.0,-1111111
-20.6738,-175.9307,201.8998,2009-12-24 05:49:33.589350,11_52197,3349,wustl:aadams,11,-1.0,-1111111
-20.4025,-175.3087,191.8792,2009-12-24 21:29:06.829690,11_52200,3458,wustl:aadams,11,-1.0,-1111111
-21.0909,-176.1149,185.1701,2009-12-25 23:31:22.425780,11_52203,3760,wustl:aadams,11,-1.0,-1111111
-20.4003,-175.5445,168.4243,2009-12-26 05:15:55.861900,11_52205,3794,wustl:aadams,11,-1.0,-1111111
-19.655,-174.5963,108.0761,2009-12-27 18:52:03.611600,11_52211,3952,wustl:aadams,11,-1.0,-1111111
-18.777,-174.3844,143.0069,2009-12-27 21:48:09.129770,11_52215,3962,wustl:aadams,11,-1.0,-1111111
-20.8596,-177.5037,530.2778,2009-12-28 10:57:42.526580,11_52217,4053,wustl:aadams-re,11,-1.0,-1111111
-20.8855,-177.464,459.803,2009-12-29 05:15:05.599670,11_52222,4177,wustl:aadams,11,-1.0,-1111111
-20.8494,-175.0206,133.265,2009-12-29 07:56:08.098530,11_52224,4187,wustl:aadams-re,11,-1.0,-1111111
-21.9324,-176.3227,178.4229,2009-12-31 17:11:54.017110,11_52227,4486,wustl:aadams,11,-1.0,-1111111
-21.662,-176.1987,180.2732,2009-12-31 18:26:07.080750,11_52230,4503,wustl:aadams,11,-1.0,-1111111
-21.4831,-176.804,245.9268,2010-01-02 21:54:12.199630,11_52234,4897,wustl:aadams,11,-1.0,-1111111
