originid,stacode,arrival_time_P,arrival_time_S,arrival_time_PS,frequency_PS,error_PS
11_52111,A01,2009-12-02 01:14:41.317870000,2009-12-02 01:14:51.343700000,,,
11_52111,A02W,2009-12-02 01:14:42.457750000,2009-12-02 01:14:53.596650000,,,
11_52111,A03,2009-12-02 01:14:43.547000000,2009-12-02 01:14:55.497900000,,,
11_52111,A05,2009-12-02 01:14:47.038000000,,,,
11_52111,A06W,2009-12-02 01:14:48.857230000,,,,
11_52111,A08W,2009-12-02 01:14:52.657130000,,,,
11_52111,A09,2009-12-02 01:14:54.415020000,,,,
11_52111,A10W,2009-12-02 01:14:56.579060000,,,,
11_52111,A11,2009-12-02 01:14:59.448910000,,,,
11_52111,B01W,2009-12-02 01:14:51.597770000,2009-12-02 01:15:10.544410014,2009-12-02 01:14:56.101722503,6.245232582092285,0.49802371859550476
11_52111,B02,2009-12-02 01:14:51.882000000,,,,
11_52111,B04W,2009-12-02 01:14:53.715440000,,,,
11_52111,C01W,2009-12-02 01:14:45.655450000,2009-12-02 01:14:59.652110000,,,
11_52111,C03W,2009-12-02 01:14:43.349880000,,,,
11_52111,C05W,2009-12-02 01:14:48.450840000,,,,
11_52111,C06,2009-12-02 01:14:47.448300000,,,,
11_52111,C08W,2009-12-02 01:14:53.085060000,,,,
11_52111,C12,2009-12-02 01:14:57.638040000,,,,
11_52111,C13,2009-12-02 01:14:54.924300000,,,,
11_52111,EUAP,2009-12-02 01:14:37.681770000,2009-12-02 01:14:44.171240000,,,
11_52111,F01,2009-12-02 01:14:48.915420000,2009-12-02 01:15:03.379846994,,,
11_52111,F02W,2009-12-02 01:14:40.375670000,2009-12-02 01:14:49.257200000,,,
11_52111,FOA,2009-12-02 01:14:58.019980000,,,,
11_52111,FONI,2009-12-02 01:14:49.465000000,2009-12-02 01:15:04.910630000,,,
11_52111,NMKA,2009-12-02 01:14:49.290000000,2009-12-02 01:15:04.693230000,,,
11_52111,PNGI,2009-12-02 01:14:56.615000000,2009-12-02 01:15:16.873070000,,,
11_52111,S01W,2009-12-02 01:14:47.538010000,2009-12-02 01:15:02.160060000,,,
11_52111,TNGA,2009-12-02 01:14:40.366540000,2009-12-02 01:14:49.089020000,,,
11_52113,A01,2009-12-02 02:25:40.792800000,,,,
11_52113,A02W,2009-12-02 02:25:39.730050000,,,,
11_52113,A03,2009-12-02 02:25:39.344870000,,,,
11_52113,A05,2009-12-02 02:25:38.903570000,,,,
11_52113,A06W,2009-12-02 02:25:38.869800000,,,,
11_52113,A07,2009-12-02 02:25:38.919690000,,,,
11_52113,A08W,2009-12-02 02:25:39.355610000,,,,
11_52113,A09,2009-12-02 02:25:39.750000000,,,,
11_52113,A10W,2009-12-02 02:25:40.495470000,,,,
11_52113,A11,2009-12-02 02:25:41.526580000,,,,
11_52113,A12W,2009-12-02 02:25:42.844310000,,2009-12-02 02:25:49.340357496,3.0529417991638184,1.8260869979858398
11_52113,A14W,2009-12-02 02:25:51.366640000,,,,
11_52113,B01W,2009-12-02 02:25:45.646110000,,,,
11_52113,B02,2009-12-02 02:25:45.009590000,,,,
11_52113,B03,2009-12-02 02:25:44.494790000,,,,
11_52113,B04W,2009-12-02 02:25:44.106310000,,,,
11_52113,B05W,2009-12-02 02:25:43.958600000,,,,
11_52113,B06,2009-12-02 02:25:44.059390000,,,,
11_52113,B07W,2009-12-02 02:25:44.014700000,,,,
11_52113,B08,2009-12-02 02:25:44.345620000,,,,
11_52113,B09W,2009-12-02 02:25:44.902200000,,,,
11_52113,B12,2009-12-02 02:25:47.458000000,,,,
11_52113,B13,2009-12-02 02:25:51.969820000,,,,
11_52113,C01W,2009-12-02 02:25:42.374950000,,,,
11_52113,C03W,2009-12-02 02:25:39.123920000,,,,
11_52113,C05W,2009-12-02 02:25:39.262100000,,,,
11_52113,C06,2009-12-02 02:25:38.499790000,,,,
