,EVENT_ID,ORIGIN_TIME,STATION,NETWORK,ELON,ELAT,EDEP,PTIME,PSTIME,SLON,SLAT,INDEX
0,11_52113,2009-12-02 02:25:13.607840,A12W,YL,183.9403,-21.0021,189.5062,2009-12-02 02:25:42.844310000,2009-12-02 02:25:49.340357496,-177.255905,-20.980499,0
1,11_52113,2009-12-02 02:25:13.607840,EUAP,Z1,183.9403,-21.0021,189.5062,2009-12-02 02:25:42.800470000,2009-12-02 02:25:48.676882868,-174.912292,-21.442699,1
2,11_52113,2009-12-02 02:25:13.607840,FONI,Z1,183.9403,-21.0021,189.5062,2009-12-02 02:25:46.405080000,2009-12-02 02:25:56.503785291,-174.630798,-20.2796,2
3,11_52113,2009-12-02 02:25:13.607840,NMKA,Z1,183.9403,-21.0021,189.5062,2009-12-02 02:25:45.670920000,2009-12-02 02:25:57.422911271,-174.798004,-20.2596,3
4,11_52113,2009-12-02 02:25:13.607840,PNGI,Z1,183.9403,-21.0021,189.5062,2009-12-02 02:25:50.688590000,2009-12-02 02:26:02.248397777,-174.350006,-19.8248,4
5,11_52113,2009-12-02 02:25:13.607840,TNGA,Z1,183.9403,-21.0021,189.5062,2009-12-02 02:25:40.791010000,2009-12-02 02:25:52.765318013,-175.325104,-21.063499,5
6,11_52115,2009-12-02 15:41:32.776970,B02,YL,184.6228,-20.0291,179.2744,2009-12-02 15:41:56.732000000,2009-12-02 15:42:05.552158004,-175.190598,-19.9965,6
7,11_52115,2009-12-02 15:41:32.776970,C01W,YL,184.6228,-20.0291,179.2744,2009-12-02 15:41:57.916000000,2009-12-02 15:42:11.550387016,-175.220398,-20.5308,7
8,11_52115,2009-12-02 15:41:32.776970,FONI,Z1,184.6228,-20.0291,179.2744,2009-12-02 15:41:58.824110000,2009-12-02 15:42:09.395132987,-174.630798,-20.2796,8
9,11_52115,2009-12-02 15:41:32.776970,NMKA,Z1,184.6228,-20.0291,179.2744,2009-12-02 15:41:58.036640000,2009-12-02 15:42:08.848892998,-174.798004,-20.2596,9
